10722,adra1a,mephentermine,agonist
10722,adrb1,isoprenaline,agonist
10722,adrb2,isoprenaline,agonist
10722,adrb3,isoprenaline,agonist
11134,slc18a2,deserpidine,inhibitor
16716,adrb2,penbutolol,antagonist
16716,adrb2,penbutolol,partial agonist
17374,th,metyrosine,binder
18565,mtr,hydroxocobalamin,cofactor
18565,mut,hydroxocobalamin,cofactor
29133,chrm3,isopropamide,antagonist
29133,chrm4,isopropamide,antagonist
29252,pomc,dihydromorphine,agonist
30388,adrb1,practolol,antagonist
36882,mut,hydroxocobalamin,cofactor
37605,adrb1,bufuralol,antagonist
91427,pola1,nelarabine,inhibitor
105006,ggcx,phytonadione,inducer
123251,c1r,conestat alfa,inhibitor
123251,c1s,conestat alfa,inhibitor
123547,atp1a1,digitoxin,inhibitor
131389,atp1a1,digitoxin,inhibitor
132355,atp1a1,digitoxin,inhibitor
136410,atp1a1,digitoxin,inhibitor
173192,nr3c1,fluoxymesterone,antagonist
225216,pde4a,dyphylline,inhibitor
225216,pde4b,dyphylline,inhibitor
225216,pde4c,dyphylline,inhibitor
236311,got2,pyridoxal phosphate,cofactor
239236,ache,decamethonium,inhibitor
240743,cat,fomepizole,inhibitor
241701,gpt2,pyridoxal phosphate,cofactor
417864,ache,gallamine triethiodide,inhibitor
436795,pgr,dydrogesterone,agonist
448162,tyr,azelaic acid,inhibitor
458448,slc6a13,guvacine,inhibitor
476986,tpo,carbimazole,inhibitor
477738,maoa,pargyline,inhibitor
477738,maob,pargyline,inhibitor
497523,htr2b,triflupromazine,antagonist
570044,glud1,hexachlorophene,inhibitor
574544,slc18a2,deserpidine,inhibitor
639854,gabra1,estazolam,potentiator
639854,gabra2,estazolam,potentiator
639854,gabra3,estazolam,potentiator
639854,gabra5,estazolam,potentiator
639854,gabrb1,estazolam,potentiator
639854,gabrb2,estazolam,potentiator
639854,gabrb3,estazolam,potentiator
639854,gabrd,estazolam,potentiator
639854,gabre,estazolam,potentiator
639854,gabrg1,estazolam,potentiator
639854,gabrg2,estazolam,potentiator
639854,gabrg3,estazolam,potentiator
639854,gabrp,estazolam,potentiator
639854,gabrr1,estazolam,potentiator
639854,gabrr2,estazolam,potentiator
639854,gabrr3,estazolam,potentiator
659613,f10,nonacog alfa,activator
659613,f11,nonacog alfa,ligand
659613,f7,nonacog alfa,ligand
659613,f8,nonacog alfa,cofactor
689791,ptgfr,bimatoprost,agonist
744157,nr3c2,desoxycorticosterone pivalate,agonist
844253,tcn1,hydroxocobalamin,other
948350,bche,hexafluorenium,inhibitor
976190,cyp11b2,spironolactone,antagonist
996853,hrh1,tripelennamine,antagonist
1060033,dhodh,leflunomide,inhibitor
1092541,slc12a1,furosemide,inhibitor
1168577,th,metyrosine,binder
1203620,hnmt,amodiaquine,inhibitor
1207670,ache,decamethonium,inhibitor
1207670,ache,gallamine triethiodide,inhibitor
1267542,chrm1,cycrimine,antagonist
1278093,tpo,carbimazole,inhibitor
1279186,fgf4,pentosan polysulfate sodium,inhibitor
1280065,plg,aminocaproic acid,inhibitor
1281221,cacna1c,cinnarizine,inhibitor
1281221,cacna1d,cinnarizine,inhibitor
1281221,cacna1f,cinnarizine,inhibitor
1281221,cacna1g,cinnarizine,inhibitor
