(-)-ROLIPRAM
CHEMBL209740
CHEMBL210833
CHEMBL21156
CHEMBL211614
CHEMBL211769
CHEMBL212301
CHEMBL212522
CHEMBL212616
CHEMBL213618
CHEMBL213661
CHEMBL213758
CHEMBL214205
CHEMBL214253
CHEMBL214393
CHEMBL214502
CHEMBL215205
CHEMBL215344
CHEMBL215803
CHEMBL216697
CHEMBL2169919
CHEMBL217068
CHEMBL217271
CHEMBL217354
CHEMBL217914
CHEMBL218006
CHEMBL218289
CHEMBL218328
CHEMBL218382
CHEMBL219445
CHEMBL219484
CHEMBL219695
CHEMBL219841
CHEMBL220050
CHEMBL220346
CHEMBL220396
CHEMBL220428
CHEMBL2204502
CHEMBL220467
CHEMBL220513
CHEMBL220529
CHEMBL220896
CHEMBL221118
CHEMBL221170
CHEMBL221181
CHEMBL22148
CHEMBL221735
CHEMBL222002
CHEMBL222476
CHEMBL222501
CHEMBL223026
CHEMBL223147
CHEMBL223339
CHEMBL223512
CHEMBL223873
CHEMBL225210
CHEMBL225664
CHEMBL226403
CHEMBL226471
CHEMBL227123
CHEMBL227381
CHEMBL227924
CHEMBL227954
CHEMBL228133
CHEMBL228224
CHEMBL228369
CHEMBL229264
CHEMBL229855
CHEMBL230137
CHEMBL230153
CHEMBL230172
CHEMBL230347
CHEMBL230354
CHEMBL23094
CHEMBL231095
CHEMBL231950
CHEMBL232148
CHEMBL2325503
CHEMBL232557
CHEMBL232566
CHEMBL232827
CHEMBL232942
CHEMBL233149
CHEMBL233209
CHEMBL233349
CHEMBL233360
CHEMBL233553
CHEMBL233970
CHEMBL233992
CHEMBL235134
CHEMBL235157
CHEMBL23552
CHEMBL236086
CHEMBL2365680
CHEMBL236573
CHEMBL236708
CHEMBL236718
CHEMBL236720
CHEMBL236777
CHEMBL237127
CHEMBL237337
CHEMBL237600
CHEMBL237786
CHEMBL239507
CHEMBL239508
CHEMBL239746
CHEMBL239857
CHEMBL240355
CHEMBL240719
CHEMBL240725
CHEMBL2407634
CHEMBL241577
CHEMBL2420629
CHEMBL242237
CHEMBL243024
CHEMBL243731
CHEMBL243940
CHEMBL243978
CHEMBL244342
CHEMBL245549
CHEMBL245678
CHEMBL245787
CHEMBL247272
CHEMBL24811
CHEMBL248176
CHEMBL248643
CHEMBL249334
CHEMBL249530
CHEMBL24957
CHEMBL249736
CHEMBL24983
CHEMBL249847
CHEMBL250409
CHEMBL250787
CHEMBL251074
CHEMBL251429
CHEMBL25186
CHEMBL252124
CHEMBL252128
CHEMBL252967
CHEMBL253608
CHEMBL253825
CHEMBL253951
CHEMBL253976
CHEMBL254520
CHEMBL255590
CHEMBL255750
CHEMBL255874
CHEMBL256315
CHEMBL256725
CHEMBL256892
CHEMBL257036
CHEMBL257158
CHEMBL257341
CHEMBL257543
CHEMBL257553
CHEMBL257591
CHEMBL257705
CHEMBL257975
CHEMBL258040
CHEMBL258202
CHEMBL258208
CHEMBL258467
CHEMBL258728
CHEMBL259420
CHEMBL259551
CHEMBL259724
CHEMBL259833
CHEMBL259850
CHEMBL260000
CHEMBL260563
CHEMBL260629
CHEMBL261454
CHEMBL261720
CHEMBL261723
CHEMBL261777
CHEMBL262103
CHEMBL262489
CHEMBL262628
CHEMBL263143
CHEMBL263664
CHEMBL264669
CHEMBL264950
CHEMBL265720
CHEMBL267048
CHEMBL26717
CHEMBL26828
CHEMBL269264
CHEMBL269881
CHEMBL270512
CHEMBL270527
CHEMBL270672
CHEMBL270875
CHEMBL271138
CHEMBL27130
CHEMBL271591
CHEMBL272114
CHEMBL272198
CHEMBL272690
CHEMBL273101
CHEMBL273158
CHEMBL273822
CHEMBL275311
CHEMBL275339
CHEMBL275368
CHEMBL276864
CHEMBL27784
CHEMBL278894
CHEMBL281795
CHEMBL282146
CHEMBL282837
CHEMBL283807
CHEMBL284362
CHEMBL28472
CHEMBL285063
CHEMBL285527
CHEMBL286364
CHEMBL286497
CHEMBL286678
CHEMBL286939
CHEMBL287837
CHEMBL288436
CHEMBL289422
CHEMBL289635
CHEMBL290140
CHEMBL291678
CHEMBL29197
CHEMBL292963
CHEMBL293034
CHEMBL293212
CHEMBL293700
CHEMBL295971
CHEMBL296323
CHEMBL29641
CHEMBL298445
CHEMBL301769
CHEMBL302715
CHEMBL303958
CHEMBL303992
CHEMBL304552
CHEMBL304784
CHEMBL304858
CHEMBL305178
CHEMBL305785
CHEMBL306380
CHEMBL307440
CHEMBL307679
CHEMBL308745
CHEMBL3087498
CHEMBL3087499
CHEMBL309282
CHEMBL310554
CHEMBL311228
CHEMBL311932
CHEMBL315546
CHEMBL316053
CHEMBL316308
CHEMBL316388
CHEMBL318721
CHEMBL319467
CHEMBL319516
CHEMBL32113
CHEMBL32190
CHEMBL321944
CHEMBL323202
CHEMBL324168
CHEMBL324942
CHEMBL324951
CHEMBL325023
CHEMBL325434
CHEMBL326082
CHEMBL326523
CHEMBL326564
CHEMBL326611
CHEMBL326651
CHEMBL327127
CHEMBL327579
CHEMBL327715
CHEMBL327830
CHEMBL328139
CHEMBL3287735
CHEMBL328827
CHEMBL329985
CHEMBL330572
CHEMBL331057
CHEMBL331282
CHEMBL331858
CHEMBL332958
CHEMBL333964
CHEMBL334167
CHEMBL335060
CHEMBL335315
CHEMBL335538
CHEMBL335954
CHEMBL336908
CHEMBL337577
CHEMBL338076
CHEMBL33859
CHEMBL338790
CHEMBL34062
CHEMBL340813
CHEMBL341273
CHEMBL342478
CHEMBL343336
CHEMBL343892
CHEMBL345292
CHEMBL346455
CHEMBL35107
CHEMBL351298
CHEMBL352764
CHEMBL353861
CHEMBL354634
CHEMBL354739
CHEMBL35482
CHEMBL355497
CHEMBL356002
CHEMBL356700
CHEMBL356752
CHEMBL357217
CHEMBL357488
CHEMBL358064
CHEMBL358860
CHEMBL358866
CHEMBL359020
CHEMBL359482
CHEMBL360356
CHEMBL360410
CHEMBL360520
CHEMBL360563
CHEMBL360998
CHEMBL361054
CHEMBL361078
CHEMBL361348
CHEMBL362148
CHEMBL36245
CHEMBL362592
CHEMBL363302
CHEMBL363498
CHEMBL363847
CHEMBL364092
CHEMBL364748
CHEMBL364811
CHEMBL364869
CHEMBL365617
CHEMBL365776
CHEMBL366254
CHEMBL366312
CHEMBL367588
CHEMBL367746
CHEMBL368238
CHEMBL369251
CHEMBL369507
CHEMBL371428
CHEMBL371491
CHEMBL371732
CHEMBL371948
CHEMBL372164
CHEMBL374713
CHEMBL374936
CHEMBL375112
CHEMBL375270
CHEMBL376388
CHEMBL376408
CHEMBL376505
CHEMBL376632
CHEMBL377312
CHEMBL377956
CHEMBL378160
CHEMBL378927
CHEMBL379000
CHEMBL379218
CHEMBL379692
CHEMBL379760
CHEMBL380331
CHEMBL380373
CHEMBL380394
CHEMBL380589
CHEMBL380648
CHEMBL380888
CHEMBL380955
CHEMBL381806
CHEMBL382127
CHEMBL382201
CHEMBL382311
CHEMBL382639
CHEMBL383189
CHEMBL383541
CHEMBL383570
CHEMBL383705
CHEMBL383923
CHEMBL38397
CHEMBL383990
CHEMBL384759
CHEMBL385178
CHEMBL385587
CHEMBL385711
CHEMBL385937
CHEMBL386015
CHEMBL386049
CHEMBL38681
CHEMBL387187
CHEMBL387347
CHEMBL387385
CHEMBL38851
CHEMBL389051
CHEMBL389767
CHEMBL390674
CHEMBL391087
CHEMBL391586
CHEMBL391640
CHEMBL391737
CHEMBL391805
CHEMBL391910
CHEMBL392068
CHEMBL392452
CHEMBL392990
CHEMBL394826
CHEMBL394875
CHEMBL395336
CHEMBL395347
CHEMBL396380
CHEMBL397666
CHEMBL398346
CHEMBL398428
CHEMBL399530
CHEMBL399598
CHEMBL400111
CHEMBL400431
CHEMBL400520
CHEMBL400754
CHEMBL401150
CHEMBL401365
CHEMBL401377
CHEMBL401842
CHEMBL401843
CHEMBL401930
CHEMBL402001
CHEMBL402262
CHEMBL402747
CHEMBL402761
CHEMBL403328
CHEMBL403350
CHEMBL403673
CHEMBL404150
CHEMBL404508
CHEMBL404630
CHEMBL405730
CHEMBL406105
CHEMBL406572
CHEMBL406652
CHEMBL406821
CHEMBL406845
CHEMBL406863
CHEMBL407567
CHEMBL408500
CHEMBL408967
CHEMBL409038
CHEMBL409536
CHEMBL41036
CHEMBL410448
CHEMBL410462
CHEMBL410668
CHEMBL410834
CHEMBL411250
CHEMBL411274
CHEMBL411930
CHEMBL416301
CHEMBL41631
CHEMBL42039
CHEMBL420671
CHEMBL420806
CHEMBL421138
CHEMBL422668
CHEMBL423417
CHEMBL424278
CHEMBL425181
CHEMBL425584
CHEMBL425616
CHEMBL426560
CHEMBL426815
CHEMBL427896
CHEMBL428462
CHEMBL428495
CHEMBL428963
CHEMBL429852
CHEMBL430879
CHEMBL431210
CHEMBL432359
CHEMBL433501
CHEMBL433921
CHEMBL434025
CHEMBL434374
CHEMBL435278
CHEMBL435747
CHEMBL436462
CHEMBL436784
CHEMBL436947
CHEMBL437508
CHEMBL437747
CHEMBL438303
CHEMBL439009
CHEMBL440498
CHEMBL443455
CHEMBL444422
CHEMBL445162
CHEMBL445420
CHEMBL447183
CHEMBL447627
CHEMBL44833
CHEMBL449269
CHEMBL451332
CHEMBL451721
CHEMBL451855
CHEMBL452289
CHEMBL452800
CHEMBL453620
CHEMBL45483
CHEMBL455271
CHEMBL455907
CHEMBL455946
CHEMBL456163
CHEMBL456218
CHEMBL457047
CHEMBL457530
CHEMBL458767
CHEMBL458926
CHEMBL458975
CHEMBL458997
CHEMBL459149
CHEMBL459177
CHEMBL460102
CHEMBL460741
CHEMBL460831
CHEMBL46085
CHEMBL460901
CHEMBL460910
CHEMBL460962
CHEMBL46148
CHEMBL462170
CHEMBL462228
CHEMBL462712
CHEMBL46293
CHEMBL463580
CHEMBL46439
CHEMBL466496
CHEMBL46780
CHEMBL46817
CHEMBL468900
CHEMBL469099
CHEMBL469117
CHEMBL470365
CHEMBL472193
CHEMBL472879
CHEMBL47302
CHEMBL473773
CHEMBL473922
CHEMBL474637
CHEMBL47527
CHEMBL475814
CHEMBL47590
CHEMBL476189
CHEMBL476937
CHEMBL477786
CHEMBL478381
CHEMBL478409
CHEMBL478464
CHEMBL478524
CHEMBL478649
CHEMBL478718
CHEMBL479014
CHEMBL479960
CHEMBL480329
