16716,g92,d2869,antagonist
16716,g92,d2869,partial agonist
17374,g2276,d2634,binder
29252,g1801,d1888,agonist
36882,g1485,d2300,cofactor
105006,g886,d2941,inducer
173192,g1601,d2136,antagonist
236311,g934,d3047,cofactor
241701,g942,d3047,cofactor
436795,g1737,d1957,agonist
476986,g2320,d435,inhibitor
477738,g1357,d2850,inhibitor
477738,g1358,d2850,inhibitor
570044,g911,d2274,inhibitor
844253,g2255,d2300,other
948350,g248,d2276,inhibitor
1168577,g2276,d2634,binder
1203620,g1066,d159,inhibitor
1278093,g2320,d435,inhibitor
1279186,g789,d2878,inhibitor
1311390,g2311,d168,inhibitor
1312851,g981,d444,inhibitor
1314830,g2199,d2108,inhibitor
1315825,g1417,d419,inhibitor
1320313,g2320,d2594,inhibitor
1322791,g2311,d168,inhibitor
1323650,g1108,d123,antagonist
1324557,g1737,d2753,agonist
1336906,g2412,d1891,agonist
1349493,g92,d2689,antagonist
1356589,g352,d464,inducer
1359073,g1357,d3016,inhibitor
1361012,g1113,d2647,antagonist
1361012,g1115,d2647,antagonist
1375507,g1879,d2331,agonist
1378042,g1177,d157,antagonist
1382161,g36,d1694,inhibitor
1386491,g1417,d419,inhibitor
1394620,g981,d444,inhibitor
1397064,g2230,d1774,inhibitor
1400062,g147,d1879,inhibitor
1407010,g1110,d2022,agonist
1426023,g448,d2816,antagonist
1426023,g448,d3019,antagonist
1438284,g248,d1968,inhibitor
1460006,g287,d2053,inhibitor
1460006,g287,d2598,inhibitor
1493594,g1337,d3458,inhibitor
1526623,g183,d2422,binder
1543672,g2197,d3314,inhibitor
1590750,g73,d2148,inhibitor
1599956,g1360,d2041,antagonist
1600046,g1116,d1708,agonist
1611705,g2296,d2341,inhibitor
1620654,g352,d464,inducer
1646718,g1660,d2750,inhibitor
1646776,g1110,d2022,agonist
1647395,g1360,d2041,antagonist
1647395,g1359,d2041,antagonist
1654566,g2329,d1888,agonist
1656846,g1635,d440,agonist
1656846,g1633,d440,agonist
1663395,g2320,d2594,inhibitor
1666366,g89,d2241,binder
1674528,g656,d2137,antagonist
1682484,g92,d3017,agonist
1691468,g1116,d3456,antagonist
1701989,g1177,d157,antagonist
1708834,g789,d2878,inhibitor
1730582,g1626,d1972,antagonist
1730582,g1626,d1972,blocker
1730767,g2297,d2289,binder
1731757,g467,d1759,ligand
1731757,g469,d1759,ligand
1731757,g468,d1759,ligand
1731757,g470,d1759,ligand
1732532,g353,d2873,agonist
1744096,g1479,d2300,cofactor
1794016,g1358,d2850,inhibitor
1838579,g1108,d2621,agonist
1863523,g447,d1907,antagonist
1886988,g147,d1879,inhibitor
1908244,g1360,d2041,antagonist
1957124,g787,d3252,agonist
1957124,g681,d3252,inducer
1968366,g92,d3017,agonist
1970615,g1078,d375,antagonist
1976401,g92,d3130,agonist
1978244,g85,d2601,agonist
2004037,g1601,d2509,agonist
2027917,g447,d3019,antagonist
2027917,g448,d3019,antagonist
2087492,g352,d464,inducer
2108722,g815,d2285,agonist
2113031,g1592,d1875,inhibitor
2120386,g2148,d2546,inhibitor
2125244,g1360,d2041,antagonist
2151003,g931,d2691,agonist
2154737,g1113,d162,antagonist
2156274,g1385,d1755,antagonist
2175153,g730,d2753,agonist
2175153,g730,d1849,agonist
2226440,g1660,d2750,inhibitor
2226620,g293,d2297,inhibitor
2226620,g293,d2294,inhibitor
2236897,g447,d2055,antagonist
2248058,g1357,d2389,inhibitor
2248058,g1358,d2389,inhibitor
2307235,g730,d1675,agonist
2326286,g730,d1806,agonist
2351672,g2307,d318,other
2361169,g248,d2393,inhibitor
2378927,g656,d2956,antagonist
2386110,g1601,d2126,agonist
2386110,g1601,d3124,agonist
2433905,g62,d2879,inhibitor
2456096,g1879,d2331,agonist
2466833,g2407,d2289,binder
2469524,g2407,d2289,binder
2502209,g1766,d146,antagonist
2502672,g982,d68,stimulator
2521824,g183,d2136,agonist
2527092,g656,d1945,antagonist
2571484,g649,d1693,inhibitor
2573104,g656,d2889,antagonist
2573502,g73,d2148,inhibitor
2586634,g447,d2647,agonist
2587420,g352,d464,inducer
2632448,g111,d3259,inhibitor
2653642,g2205,d1787,binder
2679799,g1360,d2041,antagonist
2742004,g943,d2213,cofactor
2758221,g1113,d2022,agonist
2789998,g72,d2148,inhibitor
2835038,g2310,d3220,inhibitor
2835832,g2329,d1888,agonist
2847647,g2311,d2772,inhibitor
2855368,g2329,d1888,agonist
2870716,g656,d2474,antagonist
2871880,g92,d2812,sin_interaccion
2871880,g92,d123,antagonist
2871880,g92,d2991,sin_interaccion
2882965,g147,d3255,inhibitor
2882965,g147,d153,inhibitor
2882965,g147,d2579,inhibitor
2887435,g1108,d2498,agonist
2891550,g1113,d1679,antagonist
2892392,g1079,d324,agonist
2895614,g1587,d2032,agonist
2899826,g448,d2474,antagonist
2899826,g448,d3024,sin_interaccion
2901134,g2205,d1787,binder
2904117,g447,d2055,antagonist
2904117,g448,d2055,antagonist
2962844,g2070,d57,inhibitor
2975224,g1113,d2647,antagonist
2982481,g1737,d2557,agonist
2982481,g1601,d2557,agonist
2997628,g81,d1958,antagonist
3004220,g931,d1806,negative modulator
3004501,g147,d1879,inhibitor
3004700,g353,d2873,agonist
3004987,g321,d407,agonist
3036471,g2329,d2070,agonist
3037028,g2329,d2070,agonist
3038022,g649,d1693,inhibitor
3058238,g730,d2136,antagonist
3071951,g183,d2725,antagonist
3139361,g183,d1849,sin_interaccion
3139361,g1737,d1849,agonist
