sin_interaccion,23274
inhibitor,1031
agonist,657
antagonist,647
cofactor,158
binder,83
inducer,57
antibody,51
partial agonist,36
ligand,27
product of,26
multitarget,25
potentiator,25
modulator,22
activator,18
negative modulator,20
other,15
suppressor,9
blocker,8
stimulator,6
allosteric modulator,5
unknown,3
partial antagonist,3
inverse agonist,2
inhibitory immune response,2
"inhibitor, competitive",2
binding,2
positive allosteric modulator,1
neutralizer,1
adduct,1

Cantidad de interacciones (sin contar las "sin_interaccion"): 2943
Cantidad de ejemplos de la clase más grande: 1031
