10722 10.1016/s0002-8703(76)80086-5
11134 
16716 10.1002/cpt1977216685
17374 10.1001/archpsyc.1977.01770180035002
18565 
29133 
29252 10.1016/0028-3908(78)90151-x
30388 
36882 10.1007/bf00484474
37605 10.1016/0039-6257(79)90228-5
91427 
105006 
123251 10.1172/JCI107967
123547 
131389 
132355 10.1016/0014-2999(76)90021-2
136410 
173192 10.1152/ajplegacy.1975.229.5.1381
225216 10.1159/000250562
236311 
239236 10.1021/jm00241a005
240743 
241701 10.1007/bf00279189
417864 
436795 10.1507/endocrj1954.26.117
448162 10.1111/1523-1747.ep12531744
458448 10.1111/j.1471-4159.1979.tb11720.x
476986 10.1111/j.1365-2265.1979.tb02122.x
477738 10.1016/0014-2999(79)90099-2
497523 
570044 10.1016/0006-2952(78)90213-7
574544 10.1002/jps.2600681126
639854 10.1016/0014-2999(78)90085-7
659613 10.1172/JCI109073
689791 10.1080/00207284.1978.11491638
744157 10.1210/endo-103-4-1450
844253 10.1042/cs0520215
948350 10.1007/bf00498865
976190 10.1210/endo-99-4-1097
996853 10.1620/tjem.120.299
1060033 10.1016/0030-4220(75)90446-6
1092541 10.2165/00003495-197509030-00003
1168577 10.1016/0014-2999(75)90115-6
1203620 10.1111/j.1476-5381.1975.tb06934.x
1207670 
1267542 
1278093 10.1210/endo-98-4-1031
1279186 10.1093/jnci/84.22.1716
1280065 10.1016/0003-9861(92)90272-x
1281221 10.1085/jgp.100.4.703
1283184 
1303772 
1303773 
1311390 10.1016/0022-2836(92)90245-f
1312851 10.1165/ajrcmb/6.4.404
1314830 
1315825 10.1097/00004872-199203000-00011
1316589 10.1016/0304-3940(92)90407-x
1320313 10.1530/acta.0.1260460
1320691 
1322047 10.1152/ajpendo.1992.263.1.E50
1322791 
1323650 
1323952 10.1128/aac.36.4.751
1324557 10.3109/00016349209156509
1329768 10.1016/0006-2952(92)90468-x
1331331 10.1021/np50086a011
1332478 10.1016/s0002-9378(11)91725-6
1332684 10.1042/bj2870833
1334399 
1334447 10.1248/cpb.40.2720
1335254 10.1016/0006-2952(92)90686-d
1336744 10.1016/0306-3623(92)90278-r
1336906 10.1016/0039-128x(92)90108-l
1337082 10.1093/oxfordjournals.jbchem.a123928
1344580 10.1007/bf00591179
1349493 10.1111/j.1365-2125.1992.tb04060.x
1350385 10.1016/0165-6147(92)90048-b
1351412 10.2165/00002512-199202030-00005
1352660 10.1111/j.1530-0277.1992.tb01409.x
1354084 10.1111/j.1440-1681.1992.tb00493.x
1356589 10.1016/0006-8993(92)91579-4
1357064 10.1089/jop.1992.8.23
1357724 10.1016/0090-6980(92)90017-n
1358746 10.1016/0306-3623(92)90235-c
1359073 10.1111/j.2042-7158.1992.tb03652.x
1359745 
1359777 
1360991 10.1016/0091-6749(92)90468-h
1361012 10.1254/jjp.60.33
1361946 10.7547/87507315-82-10-520
1375507 10.1161/01.atv.12.6.664
1376313 
1378042 10.1159/000236164
1382157 10.1097/00005344-199219006-00017
1382161 10.1097/00005344-199219006-00005
1386491 10.1016/0002-9149(92)91196-b
1391956 
1394620 10.1016/0009-2797(92)90073-t
1397053 10.1016/0014-2999(92)90573-m
1397064 10.1016/0926-6917(92)90006-x
1400062 10.1152/jappl.1992.73.3.955
1407010 10.1007/bf00173536
1411635 
1424804 10.1159/000133401
1426023 10.1016/0922-4106(92)90139-m
1438284 10.1073/pnas.89.22.10827
1438304 10.1073/pnas.89.22.10993
1460006 
1468487 10.1016/0014-2999(92)90471-f
1475066 
