8 10.1016/0006-2952(75)90029-5
15 10.1016/0006-2952(75)90013-1
17 10.1016/0006-2952(75)90018-0
38 10.1021/bi00694a009
75 10.1016/0005-2744(75)90206-5
322 
610 10.1007/bf01751307
2013 10.1016/0002-9378(76)90154-x
2014 10.1152/ajplegacy.1975.229.3.570
2015 10.1152/ajplegacy.1975.229.3.721
2016 10.1152/ajplegacy.1975.229.3.746
2154 10.1042/bj1500329
2605 
4134 10.1016/0005-2744(76)90298-9
4519 
8006 
8007 10.1016/0003-9861(76)90495-1
8009 10.1016/0003-9861(76)90481-1
9129 10.1021/bi00663a019
10517 
10535 10.1016/0028-3908(76)90102-7
11010 
17557 10.1177/030006057600400606
22555 10.1172/JCI108921
38961 10.1111/j.1432-1033.1979.tb13113.x
46571 10.1016/s0140-6736(75)91343-4
72763 10.1177/00220345770560080301
114173 10.1042/bj1810223
134717 
152592 10.7326/0003-4819-89-6-945
153476 10.1007/bf00508280
177447 10.1210/jcem-42-4-696
179793 10.1210/endo-98-6-1378
180879 10.1146/annurev.pa.16.040176.000341
182529 10.1007/bf01933984
212383 
227233 10.1111/j.0954-6820.1979.tb13497.x
231718 10.1016/0024-3205(79)90200-5
236774 10.1016/0005-2744(75)90115-1
237755 10.1111/j.1432-1033.1975.tb04071.x
239964 10.1210/jcem-41-3-563
261660 10.1002/9780470720554.ch16
270770 
278843 10.1021/jm00206a022
289317 10.1111/j.1749-6632.1979.tb56548.x
291471 10.1002/1097-0142(197911)44:5&lt;1566::aid-cncr2820440504&gt;3.0.co;2-g
351975 
357032 
403177 
408151 10.1111/j.1365-2362.1977.tb01610.x
436730 10.1210/endo-104-3-711
449696 10.1016/0026-0495(79)90196-3
474643 
478439 10.1159/000179045
489538 
489712 10.1210/jcem-49-5-719
500557 
521021 10.1016/0018-506x(79)90035-7
526444 10.1111/j.1365-2141.1979.tb03795.x
566752 
573191 10.1016/0010-7824(79)90039-8
580200 
603326 
687635 10.1016/0005-2744(78)90225-5
705020 
709521 10.1002/1097-0142(197809)42:3+&lt;1498::aid-cncr2820420821&gt;3.0.co;2-t
812185 
823072 
824050 
824661 10.1097/00006842-197609000-00004
842358 10.1111/j.1748-1716.1977.tb10359.x
872489 10.1002/cpt1977221100
942746 10.1093/jn/106.1.103
944698 
945314 10.1111/1523-1747.ep12482972
973739 10.1080/00039896.1976.10667229
976190 10.1210/endo-99-4-1097
984083 10.1016/0002-9378(76)90358-6
1009362 10.1136/bmj.2.6049.1426
1032363 
